Date,Open,High,Low,Close,Volume,Adj Close
2016-06-23,59.950001,60.330002,59.799999,60.25,1341800,58.165492
2016-06-22,59.75,59.93,59.599998,59.720001,850200,57.65383
2016-06-21,59.509998,59.900002,59.16,59.740002,1018600,57.673139
2016-06-20,59.43,59.630001,58.959999,59.220001,1331900,57.171129
2016-06-17,59.099998,59.25,58.759998,59.060001,4450500,57.016665
2016-06-16,58.740002,59.279999,58.52,59.25,918600,57.20009
2016-06-15,59.099998,59.630001,59.040001,59.040001,1044700,56.997356
2016-06-14,58.549999,59.299999,58.32,59.119999,1235100,57.074587
2016-06-13,59.00,59.349998,58.43,58.529999,1341400,56.504999
2016-06-10,60.049999,60.32,59.50,59.869999,1388500,57.139267
2016-06-09,60.23,60.380001,59.950001,60.240002,1026200,57.492394
2016-06-08,60.700001,60.709999,60.060001,60.299999,2217600,57.549655
2016-06-07,60.73,60.75,60.349998,60.400002,1142600,57.645096
2016-06-06,60.860001,60.91,60.52,60.529999,1286200,57.769164
2016-06-03,60.669998,60.880001,60.380001,60.779999,852100,58.007761
2016-06-02,60.389999,60.669998,60.27,60.509998,856100,57.750075
2016-06-01,60.200001,60.50,60.099998,60.43,975700,57.673726
2016-05-31,60.84,60.84,60.259998,60.450001,2717500,57.692814
2016-05-30,60.580002,60.889999,60.509998,60.73,582300,57.960042
2016-05-27,60.830002,60.970001,60.400002,60.48,1195400,57.721445
2016-05-26,60.50,60.950001,60.400002,60.73,1091800,57.960042
2016-05-25,61.09,61.09,60.529999,60.540001,1708000,57.778709
2016-05-24,61.00,61.099998,60.610001,60.849998,1193500,58.074568
2016-05-20,60.169998,60.610001,60.119999,60.34,1535600,57.587831
2016-05-19,60.23,60.279999,59.700001,60.00,1201100,57.263339
2016-05-18,60.02,60.369999,59.860001,60.060001,1573900,57.320603
2016-05-17,59.880001,60.389999,59.75,60.169998,1741700,57.425583
2016-05-16,59.82,60.200001,59.650002,59.990002,1178100,57.253796
2016-05-13,59.59,60.200001,59.59,59.720001,1346600,56.996111
2016-05-12,59.66,59.919998,59.310001,59.759998,1021400,57.034284
2016-05-11,59.34,59.610001,59.32,59.59,1369400,56.872039
2016-05-10,59.490002,59.900002,59.27,59.689999,1031900,56.967477
2016-05-09,59.299999,59.630001,59.029999,59.150002,981300,56.452109
2016-05-06,58.84,59.439999,58.779999,59.279999,957400,56.576177
2016-05-05,59.119999,59.259998,58.709999,59.049999,1175600,56.356668
2016-05-04,58.50,59.360001,58.279999,59.099998,1304600,56.404387
2016-05-03,58.529999,58.950001,58.200001,58.439999,1161800,55.77449
2016-05-02,59.220001,59.59,58.509998,58.639999,2085300,55.965369
2016-04-29,58.689999,59.080002,58.349998,58.84,1280800,56.156247
2016-04-28,58.139999,58.880001,58.00,58.830002,1425100,56.146705
2016-04-27,57.810001,58.310001,57.810001,58.200001,1303000,55.545439
2016-04-26,58.43,58.43,57.860001,57.91,1344200,55.268665
2016-04-25,58.279999,58.50,58.099998,58.369999,736500,55.707684
2016-04-22,58.75,58.990002,57.889999,58.48,1531300,55.812667
2016-04-21,59.59,59.75,58.560001,58.77,1613200,56.089441
2016-04-20,59.700001,59.810001,59.48,59.580002,891800,56.862497
2016-04-19,59.700001,59.709999,59.299999,59.650002,1280000,56.929304
2016-04-18,59.57,59.810001,59.43,59.68,2042300,56.957934
2016-04-15,59.93,60.389999,59.580002,59.740002,1330000,57.015199
2016-04-14,59.700001,59.950001,59.560001,59.950001,1062400,57.21562
2016-04-13,59.84,59.889999,59.360001,59.650002,886100,56.929304
2016-04-12,59.509998,59.689999,59.360001,59.509998,1157100,56.795686
2016-04-11,59.900002,59.900002,59.169998,59.240002,1039200,56.538005
2016-04-08,59.610001,59.900002,59.610001,59.860001,1021700,57.129725
2016-04-07,59.299999,59.759998,59.110001,59.610001,1107500,56.891127
2016-04-06,59.48,59.73,59.080002,59.400002,1091500,56.690707
2016-04-05,59.669998,59.869999,59.27,59.549999,1086500,56.833863
2016-04-04,59.41,59.919998,59.240002,59.849998,1424400,57.120179
